,Climate_Adaptation_Measures,Disaster_Risk_Reduction_Practices,Climate-Resilient_Crop_Varieties,Crop_Type,Soil_Type,Soil_Health_Index,Farm_Resilience_Index
2402,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Clayey,1.298766835590056,3.5422230729474826
2403,Cover Cropping,Emergency Preparedness,No,Wheat,Loamy,1.7343246734823428,1.4786680732043453
2404,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Loamy,5.3343014959709,9.1013927630289
2405,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Loamy,4.655548116203374,7.527008465066219
2406,Cover Cropping,Emergency Preparedness,No,Rice,Sandy,6.455595752035909,9.96503653173621
2407,Cover Cropping,Early Warning Systems,No,Wheat,Sandy,4.949630287402275,3.7195413697475908
2408,Water Conservation,Emergency Preparedness,No,Maize,Sandy,9.40669164344336,8.906372629812193
2409,Cover Cropping,Emergency Preparedness,Yes,Wheat,Clayey,5.812657438721599,6.427488411392336
2410,Water Conservation,Early Warning Systems,Yes,Maize,Clayey,7.24353455316198,5.078128662132444
2411,Water Conservation,Early Warning Systems,No,Maize,Loamy,9.06836745378247,3.0031580015977157
2412,Water Conservation,Early Warning Systems,Yes,Wheat,Sandy,2.3218468824988663,7.645529487575286
2413,Cover Cropping,Emergency Preparedness,No,Maize,Loamy,3.0676118870667572,9.137266740138699
2414,Drought-Resistant Crops,Early Warning Systems,No,Maize,Sandy,1.9658679442661355,3.1177755826783367
2415,Water Conservation,Emergency Preparedness,No,Rice,Sandy,2.2567455930692106,2.578513014762513
2416,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Loamy,5.6132557024080985,7.265997235043803
2417,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Loamy,3.8906133307071764,9.792758464529673
2418,Cover Cropping,Early Warning Systems,No,Wheat,Sandy,4.808555555740794,7.749595909936702
2419,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Sandy,9.842408486146557,3.56122665142884
2420,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Clayey,2.410339130163533,4.77959881733007
2421,Cover Cropping,Early Warning Systems,No,Rice,Loamy,5.86730863718268,4.458858719125345
2422,Water Conservation,Early Warning Systems,Yes,Wheat,Loamy,1.8898403954828586,8.668855162423409
2423,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Loamy,3.8664668193749074,7.942337009850014
2424,Cover Cropping,Emergency Preparedness,Yes,Maize,Loamy,5.747733313071388,6.300778912853682
2425,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Sandy,9.51968571368804,3.474631993572129
2426,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Clayey,4.521053991551347,9.441896749498506
2427,Water Conservation,Emergency Preparedness,No,Maize,Loamy,1.5841602659320284,6.879837022922319
2428,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Sandy,4.4934530316428525,9.734289817976041
2429,Cover Cropping,Emergency Preparedness,No,Maize,Sandy,2.3116705828657995,6.221053297378277
2430,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Sandy,3.0699065196230078,8.390734825272526
2431,Water Conservation,Emergency Preparedness,No,Maize,Sandy,6.562815608484914,8.317948414550742
2432,Water Conservation,Early Warning Systems,Yes,Wheat,Sandy,1.6068147958331351,4.035958991502328
2433,Cover Cropping,Early Warning Systems,Yes,Maize,Loamy,5.182513806250336,9.676186506615053
2434,Water Conservation,Early Warning Systems,Yes,Maize,Loamy,6.48515427409688,1.197473208378076
2435,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Clayey,4.796725531307472,7.9183981789067275
2436,Water Conservation,Emergency Preparedness,No,Maize,Loamy,1.1721371556135733,9.690013771876394
2437,Cover Cropping,Early Warning Systems,Yes,Wheat,Sandy,9.869674212125789,4.050173829553506
2438,Water Conservation,Emergency Preparedness,No,Maize,Clayey,4.304041906064818,6.832995290118748
2439,Water Conservation,Early Warning Systems,Yes,Rice,Sandy,8.007194682399403,6.060009248597895
2440,Water Conservation,Early Warning Systems,Yes,Maize,Sandy,3.930818429687079,7.853565787088713
2441,Cover Cropping,Early Warning Systems,Yes,Wheat,Loamy,5.27515081294077,8.795601294805472
2442,Water Conservation,Emergency Preparedness,Yes,Rice,Sandy,4.496172783498968,6.427401123695931
2443,Water Conservation,Emergency Preparedness,No,Wheat,Loamy,4.08285306558647,8.343141277433112
2444,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Sandy,1.1966623948700086,3.8105701830032968
2445,Cover Cropping,Emergency Preparedness,Yes,Rice,Clayey,4.240188440690531,3.057283528343352
2446,Water Conservation,Early Warning Systems,Yes,Wheat,Sandy,9.00540991359577,4.876009205795562
2447,Cover Cropping,Early Warning Systems,Yes,Rice,Loamy,7.2135400473431535,7.09962939622705
2448,Water Conservation,Early Warning Systems,Yes,Rice,Sandy,2.3088057318589588,2.6852225404485126
2449,Water Conservation,Emergency Preparedness,Yes,Wheat,Loamy,6.320395041604653,7.1231697293670235
2450,Water Conservation,Early Warning Systems,Yes,Rice,Loamy,9.030077739539843,4.546842837148606
2451,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Clayey,7.300306368683699,8.160177465033687
2452,Drought-Resistant Crops,Early Warning Systems,No,Rice,Loamy,2.3381595312102705,1.3315223539297296
2453,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Clayey,8.81049247061047,7.011843740464551
2454,Cover Cropping,Early Warning Systems,No,Rice,Clayey,3.7138961195997884,6.848401029849709
2455,Cover Cropping,Emergency Preparedness,Yes,Maize,Sandy,5.0866852988110764,9.46841928512783
2456,Drought-Resistant Crops,Early Warning Systems,No,Maize,Clayey,5.735284837202317,7.4203079820766344
2457,Cover Cropping,Emergency Preparedness,No,Wheat,Loamy,8.654559439403757,8.16671706780953
2458,Water Conservation,Early Warning Systems,No,Rice,Loamy,9.384467456328949,9.141319142678515
2459,Water Conservation,Early Warning Systems,Yes,Wheat,Clayey,9.366875900115005,7.075467264627891
2460,Water Conservation,Emergency Preparedness,No,Maize,Sandy,1.0715876315068658,3.6113827146397712
2461,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Clayey,9.296996370269115,8.827964196251699
2462,Cover Cropping,Early Warning Systems,Yes,Maize,Clayey,1.489482694014151,7.728203075283775
2463,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Loamy,3.3919629113569183,4.819938436008041
2464,Cover Cropping,Early Warning Systems,Yes,Wheat,Sandy,5.6348906925504965,7.394762553849659
2465,Water Conservation,Early Warning Systems,No,Rice,Sandy,5.319331201039546,8.809199894630279
2466,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Sandy,6.442388144986528,9.780869182521444
2467,Cover Cropping,Emergency Preparedness,No,Rice,Sandy,5.315016058633052,9.571163535631499
2468,Cover Cropping,Early Warning Systems,No,Maize,Loamy,9.409381116763788,3.9279504408772734
2469,Water Conservation,Emergency Preparedness,No,Rice,Sandy,3.164939633931283,4.795243423463636
2470,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Sandy,3.4662222463463728,1.9858294447963414
2471,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Sandy,9.286641421237505,3.227898583162414
2472,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Loamy,1.690655623707306,8.941790876382552
2473,Water Conservation,Early Warning Systems,Yes,Wheat,Loamy,6.486047397143289,4.247649336514231
2474,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Sandy,7.135623568590497,6.584973927353929
2475,Water Conservation,Early Warning Systems,Yes,Wheat,Loamy,5.549875510867655,6.993690564763299
2476,Water Conservation,Early Warning Systems,No,Maize,Clayey,7.248086909408235,8.036463476289807
2477,Water Conservation,Early Warning Systems,No,Maize,Sandy,2.554791814107703,2.645200272210679
2478,Cover Cropping,Early Warning Systems,No,Maize,Loamy,8.673690094943858,3.7433182115299193
2479,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Sandy,2.2602312052289704,5.035027073123625
2480,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Sandy,4.607311998841747,4.283569551144462
2481,Water Conservation,Early Warning Systems,Yes,Rice,Loamy,1.6773184117738522,9.846147095737209
2482,Water Conservation,Emergency Preparedness,Yes,Rice,Clayey,5.906899709356601,8.514467228923412
2483,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Sandy,7.027712266830752,5.3171807915843745
2484,Water Conservation,Early Warning Systems,No,Wheat,Clayey,9.470994715857614,8.913417634778211
2485,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Loamy,7.654025763064007,4.1288765282496716
2486,Cover Cropping,Early Warning Systems,Yes,Wheat,Sandy,5.86992624808736,8.072454915012381
2487,Water Conservation,Emergency Preparedness,No,Maize,Loamy,9.393553154533004,3.013080382958083
2488,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Loamy,5.3059315423678886,7.950898407037293
2489,Water Conservation,Emergency Preparedness,Yes,Maize,Loamy,6.0508508778898245,5.108080628761555
2490,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Loamy,6.364886749030862,1.9674938889301812
2491,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Sandy,4.689817532979101,3.4593620910002407
2492,Water Conservation,Early Warning Systems,Yes,Maize,Clayey,8.546344215092418,4.620471616212082
2493,Cover Cropping,Emergency Preparedness,Yes,Rice,Clayey,2.666583449605532,7.743636204979934
2494,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Sandy,5.993579713344472,1.6568444325785578
2495,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Sandy,7.5000993056847465,6.935922955833757
2496,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Clayey,9.135785546889196,7.444122768395593
2497,Cover Cropping,Early Warning Systems,No,Maize,Clayey,8.955265567908505,6.885292329331763
2498,Cover Cropping,Early Warning Systems,Yes,Wheat,Sandy,5.578662604871277,7.846026743508
2499,Water Conservation,Emergency Preparedness,Yes,Rice,Loamy,6.788453060470075,2.6035175442055447
2500,Cover Cropping,Emergency Preparedness,No,Rice,Sandy,4.548139625163709,6.283930195567336
2501,Water Conservation,Early Warning Systems,Yes,Rice,Clayey,5.213599865921803,9.47030452483492
2502,Water Conservation,Early Warning Systems,Yes,Maize,Loamy,9.156392133157446,6.497058428240839
2503,Cover Cropping,Early Warning Systems,Yes,Wheat,Clayey,9.376335938732266,6.502027122576577
2504,Water Conservation,Early Warning Systems,No,Rice,Loamy,9.058726522603177,7.627956779019421
2505,Cover Cropping,Emergency Preparedness,No,Rice,Clayey,2.245337756322744,3.9988380891327315
2506,Water Conservation,Emergency Preparedness,No,Wheat,Loamy,8.650756191975725,7.304283111893866
2507,Cover Cropping,Early Warning Systems,Yes,Maize,Sandy,9.535273579193323,9.246104499818935
2508,Cover Cropping,Early Warning Systems,Yes,Maize,Sandy,4.251247251162442,1.098059257228087
2509,Water Conservation,Early Warning Systems,No,Rice,Loamy,5.667816604795023,8.831017369979788
2510,Drought-Resistant Crops,Early Warning Systems,No,Rice,Loamy,8.011857302316962,2.967564981329732
2511,Water Conservation,Early Warning Systems,No,Wheat,Sandy,6.058703238090839,5.103309463303377
2512,Cover Cropping,Early Warning Systems,Yes,Rice,Sandy,9.941351695356245,8.671130208573741
2513,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Loamy,5.1014202864114555,8.41520914710966
2514,Water Conservation,Emergency Preparedness,Yes,Rice,Loamy,7.425484400866399,9.027347303134503
2515,Water Conservation,Emergency Preparedness,No,Rice,Sandy,8.133320261768898,9.463751133692735
2516,Water Conservation,Early Warning Systems,Yes,Rice,Clayey,5.446903741825955,5.024412610945827
2517,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Sandy,8.712854251402382,6.907274297209062
2518,Cover Cropping,Early Warning Systems,No,Wheat,Loamy,5.915391320864768,4.514305964734961
2519,Water Conservation,Emergency Preparedness,Yes,Wheat,Loamy,4.704857171214683,4.156450457429493
2520,Water Conservation,Early Warning Systems,No,Maize,Clayey,1.970413064667523,4.884358695379025
2521,Water Conservation,Early Warning Systems,Yes,Maize,Sandy,4.5407221871538175,7.687685213044084
2522,Water Conservation,Emergency Preparedness,Yes,Maize,Loamy,7.605428092599557,5.5129667242739755
2523,Water Conservation,Early Warning Systems,No,Wheat,Sandy,9.291577705120966,8.326537070035078
2524,Cover Cropping,Emergency Preparedness,Yes,Rice,Loamy,3.2651146347427926,7.706966294765403
2525,Cover Cropping,Emergency Preparedness,No,Maize,Clayey,4.197119655974523,1.184306150119594
2526,Water Conservation,Early Warning Systems,No,Maize,Sandy,2.3856489469398356,6.672143413955454
2527,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Sandy,7.21650604806072,4.92914010977732
2528,Cover Cropping,Early Warning Systems,Yes,Rice,Clayey,9.641695870089327,5.109660902360274
2529,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Loamy,6.76856997863358,8.365357484829051
2530,Cover Cropping,Early Warning Systems,Yes,Maize,Loamy,6.553688770056037,5.92847187476209
2531,Water Conservation,Emergency Preparedness,No,Rice,Sandy,5.981409374503905,8.970596411130524
2532,Cover Cropping,Early Warning Systems,No,Maize,Clayey,1.7961016661698288,7.415250331525214
2533,Water Conservation,Emergency Preparedness,Yes,Rice,Sandy,7.565534437864453,5.975560078876475
2534,Cover Cropping,Emergency Preparedness,Yes,Wheat,Sandy,6.418445891944157,7.790841785359934
2535,Water Conservation,Emergency Preparedness,No,Wheat,Loamy,6.953290919706584,1.3451414583286656
2536,Water Conservation,Early Warning Systems,Yes,Rice,Loamy,9.089299837246795,1.2437528934538697
2537,Water Conservation,Early Warning Systems,No,Wheat,Loamy,8.055647083549161,1.7501439422876686
2538,Water Conservation,Emergency Preparedness,Yes,Wheat,Loamy,8.028237269390734,4.938087926324284
2539,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Loamy,9.344653919914128,3.119051310642488
2540,Water Conservation,Emergency Preparedness,Yes,Maize,Clayey,9.909414563166996,9.858351649742062
2541,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Sandy,6.231544587649537,5.8806112511023025
2542,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Clayey,1.9799345442804919,6.961741714730427
2543,Water Conservation,Early Warning Systems,No,Rice,Sandy,5.132169169978927,3.50938122622027
2544,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Loamy,8.0884103181548,3.896172177288479
2545,Cover Cropping,Emergency Preparedness,Yes,Maize,Clayey,1.2495279228566427,4.019157227270403
2546,Water Conservation,Emergency Preparedness,No,Rice,Sandy,1.5119869452053416,7.288621346352706
2547,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Loamy,1.604420041445392,5.263355869203776
2548,Water Conservation,Early Warning Systems,Yes,Maize,Loamy,7.579321824954797,5.65915287277067
2549,Water Conservation,Emergency Preparedness,No,Maize,Clayey,5.510499657068548,6.3280268394341075
2550,Water Conservation,Early Warning Systems,No,Rice,Clayey,4.320081491685342,7.919304906143953
2551,Drought-Resistant Crops,Early Warning Systems,No,Rice,Clayey,1.9505534073556239,1.8133277366123033
2552,Cover Cropping,Emergency Preparedness,Yes,Wheat,Loamy,7.590162251853002,7.9918652099693945
2553,Cover Cropping,Early Warning Systems,Yes,Rice,Sandy,3.8891782949580973,6.0691156198766185
2554,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Sandy,3.3879166305820045,7.0218590036973145
2555,Water Conservation,Early Warning Systems,No,Maize,Clayey,6.870872813981959,3.947965883566858
2556,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Sandy,6.031098033371576,4.684481531348043
2557,Drought-Resistant Crops,Early Warning Systems,No,Maize,Loamy,4.261695776319715,3.080492376885282
2558,Drought-Resistant Crops,Early Warning Systems,No,Maize,Sandy,6.773387237250293,9.813699976756647
2559,Water Conservation,Emergency Preparedness,No,Rice,Loamy,3.4409936834570636,5.47302675259285
2560,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Clayey,8.153472354438941,9.96469224216938
2561,Water Conservation,Early Warning Systems,Yes,Wheat,Sandy,3.0638705527688854,5.408073802551397
2562,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Loamy,2.429539258438141,2.977761379456606
2563,Cover Cropping,Early Warning Systems,No,Wheat,Clayey,8.041954685489873,5.56707157063171
2564,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Clayey,7.371028276281399,1.3563601461917
2565,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Clayey,2.643750781316186,9.142928212797562
2566,Cover Cropping,Emergency Preparedness,Yes,Maize,Clayey,2.046211774209442,8.36695226074997
2567,Water Conservation,Early Warning Systems,No,Maize,Sandy,8.54559179638023,7.532384686248562
2568,Water Conservation,Emergency Preparedness,Yes,Maize,Loamy,7.989386339770192,6.48844043898214
2569,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Sandy,3.9453163632969783,6.218508103033268
2570,Cover Cropping,Early Warning Systems,Yes,Maize,Loamy,6.9237766739203,9.970553926715166
2571,Water Conservation,Emergency Preparedness,No,Maize,Clayey,2.117441678930297,3.5019769061794412
2572,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Sandy,5.563428931429103,8.017159288290202
2573,Cover Cropping,Emergency Preparedness,No,Maize,Clayey,1.168572628543779,6.232642931922917
2574,Water Conservation,Emergency Preparedness,No,Rice,Loamy,4.5244169282939986,9.782924893829968
2575,Water Conservation,Emergency Preparedness,No,Wheat,Clayey,1.6735853932426457,8.450228649684272
2576,Cover Cropping,Early Warning Systems,Yes,Wheat,Sandy,5.276324621411943,9.986726016906335
2577,Cover Cropping,Emergency Preparedness,Yes,Rice,Sandy,4.795134821676049,6.2949249501620175
2578,Cover Cropping,Early Warning Systems,Yes,Maize,Loamy,4.999465239742504,2.8408956179044154
2579,Cover Cropping,Early Warning Systems,No,Maize,Loamy,1.4079817184319467,5.533183321252604
2580,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Sandy,4.254547071536491,7.4000002064551715
2581,Cover Cropping,Early Warning Systems,No,Wheat,Sandy,7.808354641899249,7.9692434756342925
2582,Water Conservation,Early Warning Systems,Yes,Wheat,Sandy,4.320229360182581,1.004589901143492
2583,Water Conservation,Early Warning Systems,Yes,Wheat,Sandy,7.436547573486226,5.545243796520646
2584,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Loamy,4.325308512703599,3.1171112197358193
2585,Water Conservation,Emergency Preparedness,Yes,Wheat,Sandy,4.809154973411678,8.874206499293095
2586,Water Conservation,Emergency Preparedness,No,Rice,Loamy,6.075029015463395,2.376148996452057
2587,Cover Cropping,Early Warning Systems,No,Wheat,Sandy,9.556137431263743,6.998106246173501
2588,Water Conservation,Emergency Preparedness,No,Maize,Sandy,1.9797440198198966,3.3945597129243237
2589,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Clayey,1.296223917950563,4.2088792889284505
2590,Cover Cropping,Emergency Preparedness,Yes,Rice,Clayey,6.4716146542904065,9.465033346811603
2591,Cover Cropping,Early Warning Systems,No,Maize,Sandy,9.541873800355837,3.164033128672715
2592,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Loamy,9.907508192992434,1.8550248564063758
2593,Cover Cropping,Early Warning Systems,No,Maize,Sandy,5.357478226528016,1.6235641129980325
2594,Cover Cropping,Emergency Preparedness,Yes,Wheat,Clayey,5.212734589765886,5.541535990895159
2595,Drought-Resistant Crops,Early Warning Systems,No,Rice,Sandy,6.804673936706766,6.775403340558592
2596,Cover Cropping,Early Warning Systems,No,Maize,Clayey,6.000712814844729,3.945642792137985
2597,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Sandy,6.706792518527063,7.212337676137727
2598,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Sandy,8.865994829841048,1.5493034671591404
2599,Water Conservation,Emergency Preparedness,No,Rice,Loamy,7.716755525388484,8.716011804305891
2600,Water Conservation,Early Warning Systems,No,Rice,Clayey,5.47189652518116,8.34910488765314
2601,Cover Cropping,Emergency Preparedness,Yes,Rice,Clayey,5.156780131001526,9.86946644252877
2602,Cover Cropping,Early Warning Systems,No,Rice,Clayey,6.756415736618044,9.428544828116609
2603,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Loamy,5.101356559782677,4.205774475270353
2604,Cover Cropping,Emergency Preparedness,No,Maize,Sandy,5.120014161390759,4.593478456140194
2605,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Loamy,1.1467531160785434,7.713683627304336
2606,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Sandy,2.5665772366657755,2.206744947594849
2607,Cover Cropping,Early Warning Systems,No,Maize,Loamy,5.396622759961778,3.8261323922035135
2608,Drought-Resistant Crops,Early Warning Systems,No,Rice,Loamy,8.403881131453321,2.0668684327808347
2609,Water Conservation,Emergency Preparedness,Yes,Wheat,Clayey,3.5085430605441172,5.0939780416554825
2610,Cover Cropping,Early Warning Systems,Yes,Wheat,Loamy,5.703790898180341,5.968038518967859
2611,Water Conservation,Emergency Preparedness,No,Wheat,Sandy,4.10465876283309,2.9004442296647714
2612,Cover Cropping,Early Warning Systems,No,Maize,Loamy,1.9432359058563011,1.239685182226945
2613,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Loamy,9.624686347641706,7.474202485754708
2614,Cover Cropping,Emergency Preparedness,Yes,Rice,Sandy,8.692064832252715,1.1800464798355166
2615,Water Conservation,Early Warning Systems,Yes,Maize,Clayey,1.7064318202021576,9.760623480355205
2616,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Sandy,7.4780853622145615,2.994465310681559
2617,Cover Cropping,Emergency Preparedness,Yes,Wheat,Sandy,4.128219139217501,6.97510082904662
2618,Cover Cropping,Early Warning Systems,Yes,Rice,Sandy,9.953648263556133,4.9127655361599025
2619,Cover Cropping,Emergency Preparedness,Yes,Wheat,Loamy,3.7215866784607994,1.5370647430339648
2620,Water Conservation,Early Warning Systems,Yes,Rice,Loamy,3.148646008263399,5.249652459710207
2621,Water Conservation,Emergency Preparedness,Yes,Rice,Sandy,6.111014934748646,5.650845708671197
2622,Cover Cropping,Early Warning Systems,No,Maize,Sandy,8.516135470088837,8.692148872835816
2623,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Clayey,2.7326698463781818,7.591141626831082
2624,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Loamy,7.384624927473981,1.7137222727804773
2625,Water Conservation,Emergency Preparedness,Yes,Maize,Loamy,1.5526592482700952,2.8824641508903857
2626,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Loamy,9.270412687994476,3.8069891579345296
2627,Water Conservation,Early Warning Systems,No,Rice,Loamy,1.729674245325689,2.047669178183375
2628,Cover Cropping,Early Warning Systems,Yes,Wheat,Sandy,9.228082387097462,5.112091638230415
2629,Water Conservation,Early Warning Systems,No,Wheat,Sandy,5.417265245074326,9.85878271776282
2630,Water Conservation,Early Warning Systems,No,Maize,Clayey,5.032820015163279,5.631515121139854
2631,Cover Cropping,Early Warning Systems,No,Rice,Loamy,9.75976371550339,7.676939514908524
2632,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Loamy,9.913457599283971,7.146440179294116
2633,Water Conservation,Early Warning Systems,Yes,Wheat,Sandy,6.851603133649108,8.649202915829242
2634,Water Conservation,Emergency Preparedness,Yes,Maize,Clayey,2.1440736267134364,2.9415114141904852
2635,Cover Cropping,Emergency Preparedness,No,Rice,Sandy,5.555530770896823,7.784436355237254
2636,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Loamy,5.762467908600962,8.932197162751745
2637,Water Conservation,Emergency Preparedness,No,Wheat,Loamy,5.630017853217788,2.5435884068221846
2638,Cover Cropping,Early Warning Systems,No,Rice,Clayey,6.125426546680088,4.121219978092034
2639,Water Conservation,Early Warning Systems,Yes,Maize,Sandy,1.168522424149516,9.730915878984053
2640,Cover Cropping,Early Warning Systems,Yes,Wheat,Loamy,7.401045533234521,8.027090613818132
2641,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Loamy,7.411548717576892,3.543317492837791
2642,Drought-Resistant Crops,Early Warning Systems,No,Maize,Clayey,2.0392279766009915,6.075475926800382
2643,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Loamy,6.1321549820122065,4.638935105645309
2644,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Loamy,6.115250641921971,5.409686586944169
2645,Water Conservation,Early Warning Systems,Yes,Wheat,Sandy,7.142053781713601,4.196495722516376
2646,Water Conservation,Early Warning Systems,No,Wheat,Clayey,1.7685792292157299,3.5139791667730655
2647,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Clayey,6.638529765394868,7.072867372522769
2648,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Clayey,3.5267675567170707,8.006876335775058
2649,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Sandy,5.5630269144655475,8.865614104726102
2650,Water Conservation,Early Warning Systems,No,Maize,Clayey,7.95991197433669,2.3979697058636926
2651,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Loamy,7.35081342726712,8.405699712807166
2652,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Clayey,2.0701271591019403,3.2932074202935717
2653,Drought-Resistant Crops,Early Warning Systems,No,Maize,Loamy,6.320663084044659,4.846027509190455
2654,Cover Cropping,Early Warning Systems,Yes,Rice,Clayey,9.722048778466647,9.11299317264322
2655,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Clayey,2.4109249360150202,5.090532408843418
2656,Cover Cropping,Emergency Preparedness,No,Wheat,Sandy,8.676163789528733,2.773571806398846
2657,Cover Cropping,Early Warning Systems,Yes,Wheat,Clayey,7.322932724983993,2.43881789713406
2658,Drought-Resistant Crops,Early Warning Systems,No,Maize,Clayey,7.966029816187837,5.2568538998692045
2659,Cover Cropping,Emergency Preparedness,No,Maize,Sandy,3.537624944283809,7.8640518157889865
2660,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Loamy,3.591000364418582,9.974846295768712
2661,Water Conservation,Emergency Preparedness,Yes,Rice,Clayey,9.154175101988393,8.086677655878116
2662,Water Conservation,Early Warning Systems,No,Wheat,Clayey,4.238488288833028,8.893107630485682
2663,Water Conservation,Early Warning Systems,No,Maize,Loamy,1.5671385162352944,7.730491248413992
2664,Water Conservation,Early Warning Systems,No,Rice,Sandy,6.405370332215051,9.058915906804954
2665,Cover Cropping,Early Warning Systems,No,Rice,Clayey,2.123359021376584,1.6866418898252191
2666,Drought-Resistant Crops,Early Warning Systems,No,Rice,Sandy,8.169366172671173,9.36938439083481
2667,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Loamy,6.775717982509517,4.567655383530905
2668,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Loamy,8.872538546990874,9.294528009524
2669,Water Conservation,Early Warning Systems,Yes,Maize,Sandy,8.063535248043717,1.68159553713528
2670,Water Conservation,Emergency Preparedness,Yes,Rice,Loamy,2.0090228350437656,7.437186614090223
2671,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Loamy,4.429636087909801,7.621198738031841
2672,Water Conservation,Early Warning Systems,No,Wheat,Clayey,7.971042249231285,9.972198003679955
2673,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Sandy,4.756073259396931,7.919697436208324
2674,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Clayey,9.751289363019804,4.44316335234046
2675,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Sandy,7.621664049041043,6.015236964566908
2676,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Clayey,1.1394992502128893,4.298958443499313
2677,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Loamy,8.919871224047528,2.764167807743723
